iter, loss
1,1.0176593593188694
2,0.9171317262308938
3,0.8692521546568189
4,0.8435578439916883
5,0.8310070787157331
6,0.8232159452778952
7,0.817874220439366
8,0.8139918301786695
9,0.8110540841306959
10,0.808762959923063
11,0.8069331918443953
12,0.805443412065506
13,0.8042108731610434
14,0.8031772834914072
15,0.802300420829228
16,0.8015489910330091
17,0.8008993370192391
18,0.8003333015101296
19,0.7998366458075387
20,0.7993981344359261
21,0.7990087849753243
22,0.7986613018172127
23,0.7983497372695378
24,0.7980691816125597
25,0.7978155723639897
26,0.7975854694843292
27,0.7973760494164058
28,0.7971848283495222
29,0.7970097090516771
30,0.7968489297798702
