iter, loss
1,0.8524426017488752
2,0.8006541763033186
3,0.7974426099232265
4,0.796227375950132
5,0.7956221520900726
6,0.7952714349542346
7,0.7950479447841644
8,0.7948957111154283
9,0.794786821944373
10,0.794705969946725
11,0.7946440858500344
12,0.7945955898080553
13,0.7945567888872964
14,0.7945252307823726
15,0.7944991571562631
16,0.7944773725100926
17,0.7944589759622301
18,0.7944432829107557
19,0.7944297518048967
20,0.7944180139473507
21,0.7944077857903071
22,0.7943987931524005
23,0.7943908393383026
24,0.7943837923663003
25,0.7943775006702968
26,0.7943718586649213
27,0.7943667854581561
28,0.7943622044154576
29,0.7943580440112523
30,0.7943542846611568
