iter, loss
1,0.8699425561087472
2,0.7974341349942343
3,0.7955677279404232
4,0.795005522455488
5,0.7946690210274288
6,0.7944348497050149
7,0.7943575612136295
8,0.7943321645259858
9,0.7943210789135524
10,0.7943152172224862
11,0.7943117192813328
12,0.7943094483443669
13,0.7943079011780875
14,0.7943067823137556
15,0.7943059512547084
16,0.7943052956036158
17,0.7943047881126404
18,0.7943043938704899
19,0.7943040583814893
20,0.794303788457598
21,0.7943035687719072
22,0.7943033746310643
23,0.794303206886564
24,0.7943030723503658
25,0.7943029429231371
26,0.7943028424467359
27,0.7943027436733245
28,0.7943026627813067
29,0.794302579334804
30,0.7943025410175324
